test/stochastic/0/hammer-v1/return	test/stochastic/0/hammer-v1/ep_length	test/stochastic/0/hammer-v1/success	test/stochastic/1/hammer-v1/return	test/stochastic/1/hammer-v1/ep_length	test/stochastic/1/hammer-v1/success	test/stochastic/average_success	epoch	train/return	train/ep_length	total_env_steps	current_task_steps	train/q1	train/q2	train/logp_pi	train/loss_pi	train/loss_q1	train/loss_q2	train/alpha/0	train/alpha/1	train/loss_reg	train/success	train/active_env	walltime
60372.83461017767	200.0	0.4	-36.78680666931558	200.0	0.0	0.2	48	153395.6194083496	200.0	960000	960000	509.7188	509.71326	4.063962	-509.30664	71.44746	71.539314	0.10077293588668108	2.7182817459106445	0.0	0.87	0	25284.04390478134
176265.73	200.0	1.0	-63.3861059820313	200.0	0.0	0.5	49	169447.44871129387	200.0	980000	980000	509.58936	509.579	4.0450654	-509.1619	71.50418	72.574265	0.09995794365443289	2.7182817459106445	0.0	0.95	0	25618.53550672531
214850.841354937	200.0	1.0	-41.08360094077248	200.0	0.0	0.5	50	170769.83216952914	200.0	1000000	1000000	511.64835	511.6468	4.0547056	-511.2239	70.60809	70.36904	0.09900152559801936	2.7182817459106445	0.0	0.96	0	25972.93424320221
41186.82156893854	200.0	0.4	-72.23418330843904	200.0	0.0	0.2	51	-55.07816912428351	200.0	1020000	20000	129.94276	129.91449	3.7565844	-259.77896	90.42879	84.17352	0.09702003002166748	0.1298844703312375	0.058019947	0.01	1	26405.853626728058
204894.73559250534	200.0	1.0	-40.3517152792249	200.0	0.0	0.5	52	-54.43747767537513	200.0	1040000	40000	242.32527	242.31807	3.9693556	-484.0607	73.353294	73.652275	0.09702003002166748	0.018425069044623522	0.056089148	0.0	1	26852.38641858101
166118.44177670407	200.0	1.0	-29.798943732892457	200.0	0.0	0.5	53	-40.41198165056099	200.0	1060000	60000	250.50784	250.50888	3.9875922	-500.25323	68.943825	68.54598	0.09702003002166748	0.007960333419567905	0.056007966	0.0	1	27302.37730693817
121723.5	200.0	0.8	-58.152880600996255	200.0	0.0	0.4	54	-39.23651181409676	200.0	1080000	80000	251.945	251.95895	4.011356	-503.18286	70.667244	69.66384	0.09702003002166748	0.0065115761622553696	0.055779103	0.0	1	27765.45973134041
121907.87687701522	200.0	0.9	-51.714832748463195	200.0	0.0	0.45	55	-39.79457170620125	200.0	1100000	100000	252.8645	252.84897	4.022867	-504.97766	72.205734	70.70703	0.09702003002166748	0.005055988535040524	0.056517474	0.0	1	28220.508860826492
170316.122075863	200.0	1.0	-20.811238244442233	200.0	0.0	0.5	56	-24.804210703324888	200.0	1120000	120000	252.71687	252.71147	3.9953008	-504.762	70.514626	70.4938	0.09702003002166748	0.005014573033060878	0.055426728	0.0	1	28683.245317697525
182313.77617779156	200.0	1.0	17925.71	200.0	0.0	0.5	57	5748.205141916874	200.0	1140000	140000	260.3833	260.38794	4.057942	-520.4837	70.79128	70.54144	0.09702003002166748	0.016612292520492337	0.055094764	0.0	1	29129.54305791855
199437.4492010094	200.0	1.0	9681.893762517879	200.0	0.0	0.5	58	10662.774737130743	200.0	1160000	160000	287.53128	287.5301	3.9694746	-575.1235	73.85495	73.962715	0.09702003002166748	0.03941894952859729	0.055360194	0.01	1	29582.904814720154
202242.5293091399	200.0	1.0	25653.421585576587	200.0	0.0	0.5	59	19704.390055936554	200.0	1180000	180000	294.73074	294.729	3.9985023	-589.45935	71.33826	71.58482	0.09702003002166748	0.03914166626185179	0.05593376	0.0	1	30051.805918216705
198549.5696199671	200.0	1.0	39044.95	200.0	0.0	0.5	60	37368.077331704546	200.0	1200000	200000	310.31354	310.31262	3.9939985	-620.7424	70.83535	71.487785	0.09702003002166748	0.046587289427593354	0.05480313	0.05	1	30533.553151607513
200603.1828927945	200.0	1.0	25741.482835027033	200.0	0.0	0.5	61	41051.43192191522	200.0	1220000	220000	329.5866	329.58447	3.9772112	-659.3729	71.87415	72.67879	0.09702003002166748	0.0597071336934343	0.05595241	0.03	1	31026.323543787003
206408.79307486556	200.0	1.0	101846.41455424025	200.0	0.9	0.95	62	59421.69507800822	200.0	1240000	240000	337.6616	337.65494	3.9769094	-675.28143	73.2129	73.8423	0.09702003002166748	0.0561230300668627	0.056141656	0.29	1	31535.40318965912
201388.7099877086	200.0	1.0	104511.47640571086	200.0	0.9	0.95	63	105663.09838497406	200.0	1260000	260000	353.73923	353.73386	4.0093217	-707.84827	79.18421	79.06789	0.09702003002166748	0.0725654471701011	0.055210657	0.85	1	32023.815752744675
181939.75526652613	200.0	0.9	94252.33364384156	200.0	1.0	0.95	64	107543.59347061861	200.0	1280000	280000	384.53384	384.51874	4.0134935	-769.81616	84.31025	83.91547	0.09702003002166748	0.09413894117847085	0.057022955	0.9	1	32506.477333784103
202706.11	200.0	1.0	77590.8823871182	200.0	0.6	0.8	65	115587.05076312339	200.0	1300000	300000	396.37708	396.37512	4.0075097	-793.245	87.18016	86.5303	0.09702003002166748	0.09038314952403306	0.058199193	0.94	1	32993.012038230896
67354.984	200.0	0.4	130009.80819531658	200.0	1.0	0.7	66	120884.69713279855	200.0	1320000	320000	405.77823	405.77426	3.9854758	-811.8874	88.48874	88.81479	0.09702003002166748	0.09017918816842138	0.057528697	0.96	1	33471.5200779438
143641.2699971791	200.0	0.8	64836.495965121736	200.0	0.4	0.6	67	120678.57014173901	200.0	1340000	340000	409.5883	409.5844	4.001548	-819.34406	88.04945	88.021965	0.09702003002166748	0.08893909700550139	0.057121657	0.95	1	33959.46431469917
182865.60822865975	200.0	1.0	130914.73664331425	200.0	1.0	1.0	68	116116.61740709908	200.0	1360000	360000	412.349	412.33652	3.965998	-824.80853	87.26674	87.19874	0.09702003002166748	0.08718231818042696	0.057934742	0.95	1	34448.48759126663
211166.99341587332	200.0	1.0	132699.2470488588	200.0	0.9	0.95	69	115453.13806411628	200.0	1380000	380000	414.64273	414.6472	3.9659472	-829.3389	86.66902	86.92256	0.09702003002166748	0.08333883313685655	0.058364704	0.96	1	34939.01215815544
182768.4883603509	200.0	1.0	131631.10134653095	200.0	1.0	1.0	70	122148.03699475653	200.0	1400000	400000	417.91006	417.89886	3.9999688	-835.7989	89.36555	88.95541	0.09702003002166748	0.08368873093985021	0.05696283	0.95	1	35418.59261107445
160005.87763874367	200.0	0.9	142677.39468340363	200.0	1.0	0.95	71	121308.43261121189	200.0	1420000	420000	421.12634	421.12305	3.9728618	-842.1974	90.113464	90.251686	0.09702003002166748	0.08525266714021563	0.05700553	0.96	1	35934.98835730553
197403.49927841447	200.0	1.0	-18.730266607461807	200.0	0.0	0.5	72	127266.3990061106	200.0	1440000	440000	422.5008	422.4956	3.984717	-844.9255	90.410126	90.61417	0.09702003002166748	0.08383992311134934	0.05731375	0.97	1	36465.11376595497
150238.06	200.0	0.8	97390.97335127351	200.0	0.9	0.85	73	134867.14469903708	200.0	1460000	460000	425.9238	425.91116	3.9726644	-851.7666	90.76692	90.86174	0.09702003002166748	0.08109674776084722	0.05793654	1.0	1	37089.72169613838
216822.80445767054	200.0	1.0	136314.61456840805	200.0	1.0	1.0	74	126606.12683570145	200.0	1480000	480000	431.65826	431.6529	3.9939013	-863.1784	89.473564	89.893684	0.09702003002166748	0.08103476833030582	0.056263074	0.96	1	37985.75761079788
212062.710165318	200.0	1.0	146871.82940817124	200.0	1.0	1.0	75	121922.56630229153	200.0	1500000	500000	434.2431	434.2399	3.9652023	-868.3375	88.117386	88.05177	0.09702003002166748	0.07977354254201055	0.05638088	0.93	1	38880.43513727188
212571.7473745122	200.0	1.0	135467.0334098569	200.0	1.0	1.0	76	120650.71024770211	200.0	1520000	520000	436.5037	436.5001	3.975977	-872.7866	91.479965	91.99469	0.09702003002166748	0.07882197441533208	0.05714054	0.92	1	39794.46985054016
188947.1613699501	200.0	1.0	120950.08239311446	200.0	1.0	1.0	77	122079.94763706822	200.0	1540000	540000	436.26694	436.26404	3.9525368	-872.2334	92.417336	92.46655	0.09702003002166748	0.07936598807871342	0.056082312	0.94	1	40718.70706963539
209633.6855934327	200.0	1.0	90112.48304849058	200.0	0.9	0.95	78	137558.3390048516	200.0	1560000	560000	436.56555	436.56836	3.9522898	-872.78	93.34992	93.00171	0.09702003002166748	0.07720612000897527	0.05623356	0.98	1	41641.020591020584
204978.31435895083	200.0	1.0	137937.82746115356	200.0	1.0	1.0	79	132432.61416802206	200.0	1580000	580000	439.54395	439.53946	3.9715312	-878.7694	93.073265	94.09811	0.09702003002166748	0.07882625696882606	0.054704662	0.99	1	42563.536202430725
194223.66856540105	200.0	1.0	115599.95154361911	200.0	0.9	0.95	80	128910.55958243972	200.0	1600000	600000	443.172	443.1718	3.9844875	-886.0036	92.34505	92.49313	0.09702003002166748	0.07769142673835158	0.056239057	0.97	1	43487.20568275452
176688.2790534417	200.0	0.9	138027.25904052827	200.0	1.0	0.95	81	134890.74667144884	200.0	1620000	620000	447.021	447.0106	3.9647913	-893.6817	91.017204	91.54838	0.09702003002166748	0.07583367143049836	0.055895362	0.99	1	44410.0498278141
176599.60693908218	200.0	1.0	126172.1092220031	200.0	1.0	1.0	82	136130.11248600573	200.0	1640000	640000	450.5452	450.53635	3.9623618	-900.748	89.4973	90.61131	0.09702003002166748	0.07670862118639052	0.05676544	0.99	1	45334.00236368179
