test/stochastic/0/push-v1/return	test/stochastic/0/push-v1/ep_length	test/stochastic/0/push-v1/success	test/stochastic/1/window-close-v1/return	test/stochastic/1/window-close-v1/ep_length	test/stochastic/1/window-close-v1/success	test/stochastic/2/hammer-v1/return	test/stochastic/2/hammer-v1/ep_length	test/stochastic/2/hammer-v1/success	test/stochastic/3/push-v1/return	test/stochastic/3/push-v1/ep_length	test/stochastic/3/push-v1/success	test/stochastic/4/window-close-v1/return	test/stochastic/4/window-close-v1/ep_length	test/stochastic/4/window-close-v1/success	test/stochastic/5/hammer-v1/return	test/stochastic/5/hammer-v1/ep_length	test/stochastic/5/hammer-v1/success	test/stochastic/average_success	epoch	train/return	train/ep_length	total_env_steps	current_task_steps	train/q1	train/q2	train/logp_pi	train/loss_pi	train/loss_q1	train/loss_q2	train/alpha/0	train/alpha/1	train/alpha/2	train/alpha/3	train/alpha/4	train/alpha/5	train/loss_reg	train/success	train/active_env	walltime
93844.95235058184	200.0	0.8	-75.89780484413339	200.0	0.0	-78.926200422331	200.0	0.0	1153.5585064173006	200.0	0.0	-61.95205544871148	200.0	0.0	-56.75141721110991	200.0	0.0	0.13333333333333333	29	184507.78553266395	200.0	580000	580000	83027.02	83026.836	3.9995966	-82983.88	5456689.5	5454185.5	28.11165578136444	2.7182817459106445	2.7182817459106445	2.7182817459106445	2.7182817459106445	2.7182817459106445	0.0	0.93	0	14248.521230459213
154835.4688835464	200.0	0.8	-68.19733272515603	200.0	0.0	-73.29351480846331	200.0	0.0	3010.0701759267145	200.0	0.0	-59.92142195251266	200.0	0.0	-84.06281124635586	200.0	0.0	0.13333333333333333	30	157156.04846340412	200.0	600000	600000	83220.55	83220.516	4.000833	-83176.65	5742024.0	5703384.5	29.235991305923463	2.7182817459106445	2.7182817459106445	2.7182817459106445	2.7182817459106445	2.7182817459106445	0.0	0.86	0	14775.912024021149
221017.65525728295	200.0	0.9	-74.04199092850139	200.0	0.0	-58.52990833015203	200.0	0.0	-18.069881210859894	200.0	0.0	-54.37960810251384	200.0	0.0	-71.55820682898165	200.0	0.0	0.15	31	183528.1158534332	200.0	620000	620000	83471.35	83471.27	4.000879	-83415.1	5897165.0	5855153.0	29.98791925315857	2.7182817459106445	2.7182817459106445	2.7182817459106445	2.7182817459106445	2.7182817459106445	0.0	0.89	0	15258.036135911942
229257.6619109368	200.0	1.0	-76.10618470151957	200.0	0.0	-61.70139556060201	200.0	0.0	-15.61608380031547	200.0	0.0	-48.92184983031446	200.0	0.0	-51.7274080284311	200.0	0.1	0.18333333333333332	32	180257.55049971794	200.0	640000	640000	84515.0	84514.89	4.001468	-84459.87	6073377.0	6030761.5	30.545048010349273	2.7182817459106445	2.7182817459106445	2.7182817459106445	2.7182817459106445	2.7182817459106445	0.0	0.9	0	15789.6121468544
125008.79583316945	200.0	0.6	-63.17679932503934	200.0	0.0	-32.52451600895389	200.0	0.0	47.522178153538746	200.0	0.0	-57.176784194944595	200.0	0.0	-69.64444001111556	200.0	0.0	0.1	33	163332.44963535952	200.0	660000	660000	85082.49	85082.85	3.9986026	-85018.31	5975093.0	5947292.5	30.340787732601164	2.7182817459106445	2.7182817459106445	2.7182817459106445	2.7182817459106445	2.7182817459106445	0.0	0.91	0	16334.97739648819
171361.42791845402	200.0	1.0	-64.47230281359279	200.0	0.0	-45.67588175386121	200.0	0.0	14.707098039308182	200.0	0.0	-58.900400767121845	200.0	0.0	-55.736426343543314	200.0	0.0	0.16666666666666666	34	168112.9131289566	200.0	680000	680000	85713.7	85713.74	4.0012507	-85643.11	6108621.0	6092674.0	30.290920922851562	2.7182817459106445	2.7182817459106445	2.7182817459106445	2.7182817459106445	2.7182817459106445	0.0	0.9	0	16860.195825099945
180854.7724842456	200.0	0.9	-61.894506447028206	200.0	0.0	-50.305720960452554	200.0	0.0	-84.67812379398791	200.0	0.0	-59.71127007965816	200.0	0.0	-57.83019880142001	200.0	0.0	0.15	35	159367.36662389853	200.0	700000	700000	86574.125	86574.32	4.000688	-86503.48	5998370.5	5980297.0	29.649898024463653	2.7182817459106445	2.7182817459106445	2.7182817459106445	2.7182817459106445	2.7182817459106445	0.0	0.93	0	17377.731754779816
187110.72038249805	200.0	0.9	-38.73104039966902	200.0	0.0	-48.96677757971096	200.0	0.0	-65.59449477775509	200.0	0.0	-61.59060270158989	200.0	0.0	-83.32250317405149	200.0	0.0	0.15	36	176961.49855939514	200.0	720000	720000	86634.0	86634.17	4.0016613	-86555.77	6300466.0	6283032.0	29.678337526512145	2.7182817459106445	2.7182817459106445	2.7182817459106445	2.7182817459106445	2.7182817459106445	0.0	0.91	0	17885.569943666458
187272.62948517225	200.0	0.9	-71.37014653549481	200.0	0.0	-26.670382924957075	200.0	0.0	1037.5575997058436	200.0	0.0	-59.98268453542694	200.0	0.0	-58.41992421500819	200.0	0.0	0.15	37	191828.5601192979	200.0	740000	740000	86909.58	86909.67	4.0009985	-86810.17	6357621.0	6336101.0	29.73273936738968	2.7182817459106445	2.7182817459106445	2.7182817459106445	2.7182817459106445	2.7182817459106445	0.0	0.94	0	18379.119693279266
148904.1069962388	200.0	0.9	-54.87365953252288	200.0	0.0	-51.32676414624535	200.0	0.0	-75.29859917150566	200.0	0.0	-67.91183535164399	200.0	0.0	-74.40844033360229	200.0	0.0	0.15	38	192105.17318354818	200.0	760000	760000	87010.9	87011.39	3.9998481	-86906.69	6365526.5	6286956.0	29.93592001771927	2.7182817459106445	2.7182817459106445	2.7182817459106445	2.7182817459106445	2.7182817459106445	0.0	0.92	0	18879.343416929245
